,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
86, Torino,it Serie A,25,27.8,43.6,13,143,"1,170",13,11,6,17,10,1,3,23,0,15.2,12.8,8.7,21.5,156,413,0.85,0.46,1.31,0.77,1.23,1.17,0.67,1.84,0.99,1.65
87, Tottenham,eng Premier League,20,25.8,53.1,15,165,"1,350",15,24,20,44,24,0,0,38,0,14.8,14.8,11.2,26,275,528,1.6,1.33,2.93,1.6,2.93,0.99,0.75,1.73,0.99,1.73
88, Toulouse,fr Ligue 1,22,24.7,41.6,15,165,"1,350",15,20,10,30,16,4,6,37,1,20.6,16,11.2,27.2,220,510,1.33,0.67,2,1.07,1.73,1.37,0.75,2.12,1.07,1.82
89, Udinese,it Serie A,26,26.8,47.3,13,143,"1,170",13,14,9,23,12,2,2,26,0,14.2,12.7,8.6,21.3,198,375,1.08,0.69,1.77,0.92,1.62,1.09,0.66,1.76,0.98,1.64
90, Union Berlin,de Bundesliga,21,27.7,36.6,13,143,"1,170",13,16,9,25,16,0,2,30,1,14.8,13.2,9.3,22.5,128,336,1.23,0.69,1.92,1.23,1.92,1.14,0.72,1.86,1.02,1.73
91, Valencia,es La Liga,21,26.9,47.2,15,165,"1,350",15,14,12,26,14,0,1,28,1,15.7,14.9,11.2,26.2,227,527,0.93,0.8,1.73,0.93,1.73,1.05,0.75,1.8,1,1.74
92, Villarreal,es La Liga,26,26.6,47.2,15,165,"1,350",15,31,21,52,30,1,1,37,1,24.9,24.1,18.7,42.8,318,591,2.07,1.4,3.47,2,3.4,1.66,1.24,2.9,1.61,2.85
93, Werder Bremen,de Bundesliga,23,25.3,49.2,13,143,"1,170",13,18,13,31,16,2,3,37,2,16.2,13.8,11.6,25.4,206,501,1.38,1,2.38,1.23,2.23,1.24,0.89,2.13,1.06,1.96
94, West Ham,eng Premier League,27,27.2,42.7,15,165,"1,350",15,16,9,25,15,1,1,26,2,15.3,14.5,9.1,23.6,176,434,1.07,0.6,1.67,1,1.6,1.02,0.61,1.63,0.97,1.58
95, Wolfsburg,de Bundesliga,26,25.8,45.2,13,143,"1,170",13,17,15,32,16,1,1,27,1,17.1,16.3,13.7,30.1,152,371,1.31,1.15,2.46,1.23,2.38,1.32,1.06,2.37,1.26,2.31
96, Wolves,eng Premier League,25,26.8,47.5,14,154,"1,260",14,6,4,10,5,1,1,28,2,12.7,11.9,8.2,20.1,193,413,0.43,0.29,0.71,0.36,0.64,0.91,0.58,1.49,0.85,1.43
